Id,SalePrice
1461,124911.3036514787
1462,152006.32865702233
1463,185340.07152070815
1464,191719.46538840837
1465,215865.4703705163
1466,187845.71291405498
1467,170526.5485660874
1468,181302.43387356325
1469,186929.69952316262
1470,126925.06073375841
1471,222740.2931099606
1472,107399.09073524344
1473,96336.73982129386
1474,166512.43269626942
1475,144180.55531025838
1476,423921.2470418077
1477,247696.716412339
1478,319810.77843696484
1479,290449.52801836404
1480,505481.70207849744
1481,346724.571731817
1482,230252.54388699768
1483,177264.59850087122
1484,200311.63810258987
1485,184148.82234229855
1486,206191.22280156286
1487,377578.7783664965
1488,248269.80164848396
1489,202578.73818570963
1490,241317.0609814502
1491,201669.6963180452
1492,101622.59533540209
1493,193806.87346523313
1494,348346.259324271
1495,335666.6634496486
1496,243922.3224992846
1497,205928.62170331075
1498,181139.2211563489
1499,184182.0060583867
1500,165989.57796263526
1501,187600.1014726814
1502,168550.25373725878
1503,281884.17198645876
1504,235944.66809852427
1505,222723.17970949528
1506,184702.00114418738
1507,265950.49024666456
1508,196482.6722552433
1509,164655.08936135026
1510,149796.61888828993
1511,148268.49955101017
1512,170869.72681253563
1513,168754.88627441257
1514,178990.23077365034
1515,252274.99324677789
1516,165568.72602490894
1517,162133.78213332102
1518,148854.25022149572
1519,244529.82271002623
1520,139030.2514246058
1521,140596.33542717912
1522,190199.22927123785
1523,109279.1794203368
1524,122951.0445810236
1525,125553.00705897136
1526,125553.00705897136
1527,110092.85283775842
1528,136545.22276098526
1529,146934.40098714348
1530,178556.49276148516
1531,139081.946410169
1532,116409.28818152247
1533,145222.82970604053
1534,124334.2972360337
1535,174863.09933827707
1536,119791.1274622846
1537,91092.39733377921
1538,180860.32073669654
1539,258427.8256195969
1540,143399.87443176852
1541,162637.37509764245
1542,160915.7778231108
1543,250701.31304513957
1544,88574.0999983137
1545,106961.93220634614
1546,147058.8802618648
1547,144476.2152796699
1548,140342.75209720118
1549,103520.74773063595
1550,157294.3000543502
1551,128184.43367971899
1552,148581.82600853022
1553,146266.0966127125
1554,121333.80543406564
1555,177097.524664647
1556,92666.10216906712
1557,123403.47218647762
1558,106016.11293265084
1559,111688.49762200599
1560,154926.35507834394
1561,158051.0547338351
1562,126556.98107742277
1563,126665.62682662508
1564,175493.16630099207
1565,159445.51550357076
1566,237827.04153597602
1567,90621.68921056375
